,0.20.0,0.20.1,0.20.2,0.20.2+228,0.20.2+320,0.20.2+737,0.20.2-cdh3b4,0.20.2-cdh3u0,0.20.2-cdh3u1,0.20.2-cdh3u2,0.20.2-cdh3u3,0.20.2-cdh3u4,0.20.2-cdh3u5,0.20.203.0,0.20.204.0,0.20.205.0,0.21.0,0.22.0,0.23.0,0.23.0-cdh4b1,0.23.1,0.23.1-cdh4.0.0b2,0.23.3,1.0.0,1.0.1,1.0.2,1.0.3,2.0.0-alpha,2.0.0-cdh4.0.0,2.0.0-cdh4.0.1,2.0.0-cdh4.1.0,2.0.1-alpha
org.apache.hadoop.contrib.failmon.LogParser,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.MonitorJob,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.Monitored,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.NICParser,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.OfflineAnonymizer,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.OfflineAnonymizer.LogType,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.PersistentState,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.RunOnce,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.SMARTParser,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.SensorsParser,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.SerializedRecord,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.ShellParser,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.failmon.SystemLogParser,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.HashingDistributionPolicy,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.IdentityLocalAnalysis,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.LineDocInputFormat,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.LineDocLocalAnalysis,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.LineDocRecordReader,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.LineDocTextAndOp,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.example.RoundRobinDistributionPolicy,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.lucene.FileSystemDirectory,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.lucene.LuceneUtil,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.lucene.RAMDirectoryUtil,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.lucene.ShardWriter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.main.UpdateIndex,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.DocumentAndOp,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.DocumentAndOp.Op,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.DocumentID,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
