,0.20.0,0.20.1,0.20.2,0.20.2+228,0.20.2+320,0.20.2+737,0.20.2-cdh3b4,0.20.2-cdh3u0,0.20.2-cdh3u1,0.20.2-cdh3u2,0.20.2-cdh3u3,0.20.2-cdh3u4,0.20.2-cdh3u5,0.20.203.0,0.20.204.0,0.20.205.0,0.21.0,0.22.0,0.23.0,0.23.0-cdh4b1,0.23.1,0.23.1-cdh4.0.0b2,0.23.3,1.0.0,1.0.1,1.0.2,1.0.3,2.0.0-alpha,2.0.0-cdh4.0.0,2.0.0-cdh4.0.1,2.0.0-cdh4.1.0,2.0.1-alpha
org.apache.hadoop.contrib.index.mapred.IDistributionPolicy,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IIndexUpdater,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.ILocalAnalysis,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdateCombiner,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdateConfiguration,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdateMapper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdateOutputFormat,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdatePartitioner,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdateReducer,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IndexUpdater,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.IntermediateForm,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.index.mapred.Shard,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.ArrayListBackedIterator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.DataJoinJob,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.DataJoinMapperBase,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.DataJoinReducerBase,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.JobBase,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.ResetableIterator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.contrib.utils.join.TaggedMapOutput,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.AggregateWordCount,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.AggregateWordCount.WordCountPlugInClass,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.AggregateWordHistogram,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.AggregateWordHistogram.AggregateWordHistogramPlugin,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.DBCountPageView,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.ExampleDriver,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
